SGS Bonds and T-bills & CMTBs Auction Result Data

Issue Code,ISIN Code,Product Type,Term to Maturity at Auction,Auction Amount (S$M),Auction Date,Issue Date,Maturity Date,Amount Applied (S$M),Coupon Rate (%),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
BS21117H,SGXZ42529180,T-bills,182,3900,02/09/2021,07/09/2021,08/03/2022,7833.2,N/A,2.01,0.30,99.850,0.27,99.865,0.22,99.890
BS21118T,SGXZ45670015,T-bills,182,3900,16/09/2021,21/09/2021,22/03/2022,7314.2,N/A,1.88,0.30,99.850,0.27,99.865,0.24,99.880
BS21119X,SGXZ37312097,T-bills,182,3800,30/09/2021,05/10/2021,05/04/2022,6236.8,N/A,1.64,0.36,99.820,0.30,99.850,0.29,99.855
BS21120F,SGXZ27776087,T-bills,182,4000,14/10/2021,19/10/2021,19/04/2022,8713.9,N/A,2.18,0.37,99.816,0.32,99.840,0.29,99.855
BS21121Z,SGXZ28606044,T-bills,182,3900,28/10/2021,02/11/2021,03/05/2022,8976.9,N/A,2.30,0.46,99.771,0.40,99.801,0.32,99.840
BS21122S,SGXZ58289547,T-bills,182,3900,11/11/2021,16/11/2021,17/05/2022,8685.4,N/A,2.23,0.49,99.756,0.43,99.786,0.30,99.850
BS21123H,SGXZ33678194,T-bills,182,4300,25/11/2021,30/11/2021,31/05/2022,8903.7,N/A,2.07,0.55,99.726,0.49,99.756,0.43,99.786
BS21124T,SGXZ82883216,T-bills,182,3800,09/12/2021,14/12/2021,14/06/2022,8884.8,N/A,2.34,0.55,99.726,0.50,99.751,0.42,99.791
BS21125X,SGXZ49329907,T-bills,182,3900,23/12/2021,28/12/2021,28/06/2022,10704.5,N/A,2.74,0.53,99.736,0.42,99.791,0.36,99.820
BS22100S,SGXZ94462934,T-bills,182,4300,06/01/2022,11/01/2022,12/07/2022,8712.5,N/A,2.03,0.55,99.726,0.50,99.751,0.44,99.781
BS22101H,SGXZ10864734,T-bills,182,4500,20/01/2022,25/01/2022,26/07/2022,11625.3,N/A,2.58,0.48,99.761,0.42,99.791,0.38,99.811
BS22102T,SGXZ79431383,T-bills,182,4400,03/02/2022,08/02/2022,09/08/2022,9125.2,N/A,2.07,0.67,99.666,0.55,99.726,0.50,99.751
BS22103X,SGXZ67345371,T-bills,182,4300,17/02/2022,22/02/2022,23/08/2022,10632.5,N/A,2.47,0.76,99.621,0.68,99.661,0.56,99.721
BS22104W,SGXZ20662227,T-bills,182,3900,03/03/2022,08/03/2022,06/09/2022,10261.8,N/A,2.63,0.78,99.611,0.60,99.701,0.54,99.731
BS22105N,SGXZ24948721,T-bills,182,3900,17/03/2022,22/03/2022,20/09/2022,7504.7,N/A,1.92,0.95,99.526,0.85,99.576,0.71,99.646
BS22106V,SGXZ20614087,T-bills,182,3600,31/03/2022,05/04/2022,04/10/2022,7968.3,N/A,2.21,1.22,99.392,1.10,99.452,0.98,99.511
BS22107A,SGXZ14369185,T-bills,182,4300,13/04/2022,19/04/2022,18/10/2022,8244.4,N/A,1.92,1.32,99.342,1.19,99.407,0.84,99.581
BS22108E,SGXZ93357168,T-bills,181,4300,27/04/2022,04/05/2022,01/11/2022,10353.8,N/A,2.41,1.56,99.226,1.47,99.271,1.28,99.365
BS22109F,SGXZ22646186,T-bills,182,4300,11/05/2022,17/05/2022,15/11/2022,10425.4,N/A,2.42,1.69,99.157,1.57,99.217,1.31,99.347
BS22110W,SGXZ19937341,T-bills,182,4500,26/05/2022,31/05/2022,29/11/2022,12324.9,N/A,2.74,1.80,99.102,1.67,99.167,1.35,99.327
BS22111N,SGXZ62717111,T-bills,182,4100,09/06/2022,14/06/2022,13/12/2022,8633.0,N/A,2.11,2.04,98.983,1.90,99.053,1.76,99.122
BS22112V,SGXZ10326791,T-bills,182,4100,23/06/2022,28/06/2022,27/12/2022,9890.6,N/A,2.41,2.36,98.823,2.19,98.908,1.97,99.018
BS22113A,SGXZ61747028,T-bills,182,4500,07/07/2022,12/07/2022,10/01/2023,8503.7,N/A,1.89,2.66,98.674,2.38,98.813,2.28,98.863
BS22114E,SGXZ15080351,T-bills,182,4600,21/07/2022,26/07/2022,24/01/2023,12174.8,N/A,2.65,2.93,98.539,2.80,98.604,2.17,98.918
BS22115F,SGXZ99167959,T-bills,181,4600,04/08/2022,10/08/2022,07/02/2023,11607.4,N/A,2.52,2.87,98.577,2.72,98.651,2.28,98.869
BS22116Z,SGXZ97274385,T-bills,182,4600,18/08/2022,23/08/2022,21/02/2023,11139.9,N/A,2.42,2.98,98.514,2.80,98.604,2.36,98.823
BS22117S,SGXZ33479874,T-bills,182,4300,01/09/2022,06/09/2022,07/03/2023,11137.0,N/A,2.59,2.99,98.509,2.85,98.579,2.48,98.763
BS22118H,SGXZ71644934,T-bills,182,4200,15/09/2022,20/09/2022,21/03/2023,9098.0,N/A,2.17,3.32,98.345,3.00,98.504,2.76,98.624
BS22119T,SGXZ40547002,T-bills,182,4000,29/09/2022,04/10/2022,04/04/2023,9678.9,N/A,2.42,3.32,98.345,3.17,98.419,2.85,98.579
BS22120E,SGXZ82759408,T-bills,182,4500,13/10/2022,18/10/2022,18/04/2023,10218.8,N/A,2.27,3.77,98.120,3.35,98.330,3.07,98.469
